"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.63","162.159.137.232","QUIC","1292","Initial, DCID=ffd3a689f15f1188, PKN: 1, CRYPTO"
"2","0.000010","192.168.0.63","162.159.137.232","QUIC","1292","Initial, DCID=ffd3a689f15f1188, PKN: 2, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO"
"3","0.000321","192.168.0.63","162.159.137.232","QUIC","123","0-RTT, DCID=ffd3a689f15f1188"
"4","0.031129","162.159.137.232","192.168.0.63","QUIC","1242","Initial, SCID=011dde672f0fd2cbde1d7d670b0ff7650ab1b395, PKN: 0, ACK"
"5","0.031418","162.159.137.232","192.168.0.63","QUIC","1242","Initial, SCID=011dde672f0fd2cbde1d7d670b0ff7650ab1b395, PKN: 1, ACK, CRYPTO"
"6","0.032914","162.159.137.232","192.168.0.63","QUIC","1242","Handshake, SCID=011dde672f0fd2cbde1d7d670b0ff7650ab1b395"
"7","0.032917","162.159.137.232","192.168.0.63","QUIC","66","Protected Payload (KP0)"
"8","0.032918","162.159.137.232","192.168.0.63","QUIC","66","Protected Payload (KP0)"
"9","0.032919","162.159.137.232","192.168.0.63","QUIC","91","Protected Payload (KP0)"
"10","0.033206","192.168.0.63","162.159.137.232","QUIC","1292","Initial, DCID=011dde672f0fd2cbde1d7d670b0ff7650ab1b395, PKN: 4, ACK, PADDING"
"11","0.035390","192.168.0.63","162.159.137.232","QUIC","1292","Handshake, DCID=011dde672f0fd2cbde1d7d670b0ff7650ab1b395"
"12","0.035399","192.168.0.63","162.159.137.232","QUIC","127","Handshake, DCID=011dde672f0fd2cbde1d7d670b0ff7650ab1b395"
"13","0.035528","192.168.0.63","162.159.137.232","QUIC","85","Protected Payload (KP0), DCID=011dde672f0fd2cbde1d7d670b0ff7650ab1b395"
"14","0.035853","192.168.0.63","162.159.137.232","QUIC","89","Protected Payload (KP0), DCID=011dde672f0fd2cbde1d7d670b0ff7650ab1b395"
"15","0.054628","162.159.137.232","192.168.0.63","QUIC","71","Protected Payload (KP0)"
"16","0.084129","192.168.0.63","162.159.137.232","QUIC","86","Protected Payload (KP0), DCID=011dde672f0fd2cbde1d7d670b0ff7650ab1b395"
"17","0.133056","192.168.0.63","162.159.137.232","QUIC","1204","Protected Payload (KP0), DCID=011dde672f0fd2cbde1d7d670b0ff7650ab1b395"
"18","0.147821","162.159.137.232","192.168.0.63","QUIC","66","Protected Payload (KP0)"
"19","0.196466","162.159.137.232","192.168.0.63","QUIC","1242","Protected Payload (KP0)"
"20","0.196952","162.159.137.232","192.168.0.63","QUIC","1242","Protected Payload (KP0)"
"21","0.197181","162.159.137.232","192.168.0.63","QUIC","1242","Protected Payload (KP0)"
"22","0.197399","192.168.0.63","162.159.137.232","QUIC","85","Protected Payload (KP0), DCID=011dde672f0fd2cbde1d7d670b0ff7650ab1b395"
"23","0.197478","162.159.137.232","192.168.0.63","QUIC","728","Protected Payload (KP0)"
"24","0.197772","162.159.137.232","192.168.0.63","QUIC","70","Protected Payload (KP0)"
"25","0.197938","192.168.0.63","162.159.137.232","QUIC","85","Protected Payload (KP0), DCID=011dde672f0fd2cbde1d7d670b0ff7650ab1b395"
"26","0.198044","162.159.137.232","192.168.0.63","QUIC","1242","Protected Payload (KP0)"
"27","0.198459","162.159.137.232","192.168.0.63","QUIC","1242","Protected Payload (KP0)"
"28","0.198503","192.168.0.63","162.159.137.232","QUIC","85","Protected Payload (KP0), DCID=011dde672f0fd2cbde1d7d670b0ff7650ab1b395"
