"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.63","162.159.135.232","QUIC","1292","Initial, DCID=a94729fb1be2075f, PKN: 1, CRYPTO"
"2","0.000061","192.168.0.63","162.159.135.232","QUIC","1292","Initial, DCID=a94729fb1be2075f, PKN: 2, PADDING, PING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, PING, PADDING, PING"
"3","0.000376","192.168.0.63","162.159.135.232","QUIC","118","0-RTT, DCID=a94729fb1be2075f"
"4","0.000720","192.168.0.63","162.159.135.232","QUIC","1154","0-RTT, DCID=a94729fb1be2075f"
"5","0.020611","162.159.135.232","192.168.0.63","QUIC","1242","Initial, SCID=017d94ef7788facb587d37ef6388e9ba7e88a614, PKN: 0, ACK"
"6","0.022643","162.159.135.232","192.168.0.63","QUIC","1242","Initial, SCID=017d94ef7788facb587d37ef6388e9ba7e88a614, PKN: 1, ACK, CRYPTO"
"7","0.023743","162.159.135.232","192.168.0.63","QUIC","1242","Handshake, SCID=017d94ef7788facb587d37ef6388e9ba7e88a614"
"8","0.023744","162.159.135.232","192.168.0.63","QUIC","66","Protected Payload (KP0)"
"9","0.023745","162.159.135.232","192.168.0.63","QUIC","66","Protected Payload (KP0)"
"10","0.023745","162.159.135.232","192.168.0.63","QUIC","91","Protected Payload (KP0)"
"11","0.024766","192.168.0.63","162.159.135.232","QUIC","1292","Handshake, DCID=017d94ef7788facb587d37ef6388e9ba7e88a614"
"12","0.024931","192.168.0.63","162.159.135.232","QUIC","85","Protected Payload (KP0), DCID=017d94ef7788facb587d37ef6388e9ba7e88a614"
"13","0.025088","192.168.0.63","162.159.135.232","QUIC","89","Protected Payload (KP0), DCID=017d94ef7788facb587d37ef6388e9ba7e88a614"
"14","0.025299","192.168.0.63","162.159.135.232","QUIC","1292","Protected Payload (KP0), DCID=017d94ef7788facb587d37ef6388e9ba7e88a614"
"15","0.025301","192.168.0.63","162.159.135.232","QUIC","870","Protected Payload (KP0), DCID=017d94ef7788facb587d37ef6388e9ba7e88a614"
"16","0.043801","162.159.135.232","192.168.0.63","QUIC","71","Protected Payload (KP0)"
"17","0.043801","162.159.135.232","192.168.0.63","QUIC","66","Protected Payload (KP0)"
"18","0.062233","162.159.135.232","192.168.0.63","QUIC","652","Protected Payload (KP0)"
"19","0.062501","192.168.0.63","162.159.135.232","QUIC","86","Protected Payload (KP0), DCID=017d94ef7788facb587d37ef6388e9ba7e88a614"
"20","0.063752","162.159.135.232","192.168.0.63","QUIC","1242","Protected Payload (KP0)"
"21","0.063753","162.159.135.232","192.168.0.63","QUIC","1242","Protected Payload (KP0)"
"22","0.063753","162.159.135.232","192.168.0.63","QUIC","1242","Protected Payload (KP0)"
"23","0.063754","162.159.135.232","192.168.0.63","QUIC","1242","Protected Payload (KP0)"
"24","0.063754","162.159.135.232","192.168.0.63","QUIC","1242","Protected Payload (KP0)"
"25","0.063754","162.159.135.232","192.168.0.63","QUIC","1242","Protected Payload (KP0)"
"26","0.063755","162.159.135.232","192.168.0.63","QUIC","1242","Protected Payload (KP0)"
"27","0.063756","162.159.135.232","192.168.0.63","QUIC","1242","Protected Payload (KP0)"
"28","0.063756","162.159.135.232","192.168.0.63","QUIC","516","Protected Payload (KP0)"
"29","0.063756","162.159.135.232","192.168.0.63","QUIC","1242","Protected Payload (KP0)"
"30","0.063757","162.159.135.232","192.168.0.63","QUIC","129","Protected Payload (KP0)"
"31","0.063979","192.168.0.63","162.159.135.232","QUIC","85","Protected Payload (KP0), DCID=017d94ef7788facb587d37ef6388e9ba7e88a614"
"32","0.064077","192.168.0.63","162.159.135.232","QUIC","85","Protected Payload (KP0), DCID=017d94ef7788facb587d37ef6388e9ba7e88a614"
"33","0.064178","192.168.0.63","162.159.135.232","QUIC","85","Protected Payload (KP0), DCID=017d94ef7788facb587d37ef6388e9ba7e88a614"
"34","0.064284","192.168.0.63","162.159.135.232","QUIC","85","Protected Payload (KP0), DCID=017d94ef7788facb587d37ef6388e9ba7e88a614"
"35","0.064328","192.168.0.63","162.159.135.232","QUIC","85","Protected Payload (KP0), DCID=017d94ef7788facb587d37ef6388e9ba7e88a614"
"36","0.072261","162.159.135.232","192.168.0.63","QUIC","681","Protected Payload (KP0)"
"37","0.072426","192.168.0.63","162.159.135.232","QUIC","85","Protected Payload (KP0), DCID=017d94ef7788facb587d37ef6388e9ba7e88a614"
"38","0.079773","162.159.135.232","192.168.0.63","QUIC","887","Protected Payload (KP0)"
"39","0.080017","162.159.135.232","192.168.0.63","QUIC","587","Protected Payload (KP0)"
"40","0.080436","192.168.0.63","162.159.135.232","QUIC","85","Protected Payload (KP0), DCID=017d94ef7788facb587d37ef6388e9ba7e88a614"
"41","0.109909","192.168.0.63","162.159.135.232","QUIC","1251","Protected Payload (KP0), DCID=017d94ef7788facb587d37ef6388e9ba7e88a614"
"42","0.112242","192.168.0.63","162.159.135.232","QUIC","1243","Protected Payload (KP0), DCID=017d94ef7788facb587d37ef6388e9ba7e88a614"
