"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.65.82.205","13.107.42.14","TCP","78","51230  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1337625425 TSecr=0 SACK_PERM"
"2","0.000416","100.65.82.205","13.107.42.14","TCP","78","51231  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=604807754 TSecr=0 SACK_PERM"
"3","0.009299","100.65.82.205","13.107.42.14","TLSv1.2","1407","Application Data"
"4","0.010789","13.107.42.14","100.65.82.205","TCP","66","443  >  51230 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"5","0.010925","100.65.82.205","13.107.42.14","TCP","54","51230  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"6","0.011329","13.107.42.14","100.65.82.205","TCP","66","443  >  51231 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"7","0.011418","100.65.82.205","13.107.42.14","TCP","54","51231  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"8","0.014907","100.65.82.205","13.107.42.14","TCP","1494","51230  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=1440 [TCP segment of a reassembled PDU]"
"9","0.015009","100.65.82.205","13.107.42.14","TLSv1.2","432","Client Hello (SNI=linkedin.com)"
"10","0.015660","100.65.82.205","13.107.42.14","TCP","1494","51231  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=1440 [TCP segment of a reassembled PDU]"
"11","0.015686","100.65.82.205","13.107.42.14","TLSv1.2","336","Client Hello (SNI=linkedin.com)"
"12","0.019772","13.107.42.14","100.65.82.205","TCP","56","443  >  50364 [ACK] Seq=1 Ack=1354 Win=16379 Len=0"
"13","0.025237","13.107.42.14","100.65.82.205","TCP","56","443  >  51230 [ACK] Seq=1 Ack=1819 Win=4194560 Len=0"
"14","0.026320","13.107.42.14","100.65.82.205","TCP","1514","443  >  51230 [ACK] Seq=1 Ack=1819 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"15","0.026375","100.65.82.205","13.107.42.14","TCP","54","51230  >  443 [ACK] Seq=1819 Ack=1461 Win=260672 Len=0"
"16","0.026684","13.107.42.14","100.65.82.205","TCP","1514","443  >  51230 [ACK] Seq=1461 Ack=1819 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"17","0.026685","13.107.42.14","100.65.82.205","TCP","1514","443  >  51230 [ACK] Seq=2921 Ack=1819 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"18","0.026685","13.107.42.14","100.65.82.205","TLSv1.2","265","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"19","0.026725","100.65.82.205","13.107.42.14","TCP","54","51230  >  443 [ACK] Seq=1819 Ack=4592 Win=259008 Len=0"
"20","0.026942","13.107.42.14","100.65.82.205","TCP","56","443  >  51231 [ACK] Seq=1 Ack=1723 Win=4194560 Len=0"
"21","0.026971","100.65.82.205","13.107.42.14","TCP","54","[TCP Window Update] 51230  >  443 [ACK] Seq=1819 Ack=4592 Win=262144 Len=0"
"22","0.028113","13.107.42.14","100.65.82.205","TCP","1514","443  >  51231 [ACK] Seq=1 Ack=1723 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"23","0.028129","13.107.42.14","100.65.82.205","TCP","1514","443  >  51231 [ACK] Seq=1461 Ack=1723 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"24","0.028130","13.107.42.14","100.65.82.205","TCP","1514","443  >  51231 [ACK] Seq=2921 Ack=1723 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"25","0.028220","100.65.82.205","13.107.42.14","TCP","54","51231  >  443 [ACK] Seq=1723 Ack=1461 Win=260672 Len=0"
"26","0.028295","100.65.82.205","13.107.42.14","TCP","54","51231  >  443 [ACK] Seq=1723 Ack=4381 Win=257728 Len=0"
"27","0.028369","100.65.82.205","13.107.42.14","TCP","54","[TCP Window Update] 51231  >  443 [ACK] Seq=1723 Ack=4381 Win=262144 Len=0"
