"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TLSv1.2","953","Application Data"
"2","0.000098","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","1474","54869  >  443 [ACK] Seq=880 Ack=1 Win=4096 Len=1400 [TCP segment of a reassembled PDU]"
"3","0.000171","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TLSv1.2","420","Application Data"
"4","0.025429","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=1 Ack=880 Win=16382 Len=0"
"5","0.026037","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=1 Ack=2280 Win=16385 Len=0"
"6","0.026038","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=1 Ack=2626 Win=16384 Len=0"
"7","0.069717","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","1474","54869  >  443 [ACK] Seq=2626 Ack=1 Win=4096 Len=1400 [TCP segment of a reassembled PDU]"
"8","0.069828","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TLSv1.2","1052","Application Data"
"9","0.085288","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=1 Ack=4026 Win=16385 Len=0"
"10","0.085698","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=1 Ack=5004 Win=16381 Len=0"
"11","0.089761","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","422","Application Data"
"12","0.089825","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","74","54869  >  443 [ACK] Seq=5004 Ack=349 Win=4090 Len=0"
"13","0.182505","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","1023","Application Data"
"14","0.182649","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","74","54869  >  443 [ACK] Seq=5004 Ack=1298 Win=4081 Len=0"
"15","0.183521","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TLSv1.2","116","Application Data"
"16","0.184034","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","112","Application Data"
"17","0.184098","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","74","54869  >  443 [ACK] Seq=5046 Ack=1336 Win=4095 Len=0"
"18","0.202472","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=1336 Ack=5046 Win=16381 Len=0"
"19","0.213899","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TLSv1.2","1081","Application Data"
"20","0.230554","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=1336 Ack=6053 Win=16385 Len=0"
"21","0.244153","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TLSv1.2","1453","Application Data"
"22","0.247213","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TLSv1.2","481","Application Data"
"23","0.256299","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","1474","54869  >  443 [ACK] Seq=7839 Ack=1336 Win=4096 Len=1400 [TCP segment of a reassembled PDU]"
"24","0.256306","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","1474","54869  >  443 [ACK] Seq=9239 Ack=1336 Win=4096 Len=1400 [TCP segment of a reassembled PDU]"
"25","0.256372","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TLSv1.2","325","Application Data"
"26","0.260178","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=1336 Ack=7432 Win=16380 Len=0"
"27","0.263429","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=1336 Ack=7839 Win=16385 Len=0"
"28","0.273015","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=1336 Ack=9239 Win=16380 Len=0"
"29","0.273355","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=1336 Ack=10890 Win=16385 Len=0"
"30","0.326654","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","301","Application Data"
"31","0.326736","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","74","54869  >  443 [ACK] Seq=10890 Ack=1563 Win=4092 Len=0"
"32","0.377839","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","774","Application Data"
"33","0.377915","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","74","54869  >  443 [ACK] Seq=10890 Ack=2263 Win=4085 Len=0"
"34","0.378131","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","112","Application Data"
"35","0.378172","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","74","54869  >  443 [ACK] Seq=10890 Ack=2301 Win=4095 Len=0"
"36","0.379355","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","1474","54869  >  443 [ACK] Seq=10890 Ack=2301 Win=4096 Len=1400 [TCP segment of a reassembled PDU]"
"37","0.379360","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","1474","54869  >  443 [ACK] Seq=12290 Ack=2301 Win=4096 Len=1400 [TCP segment of a reassembled PDU]"
"38","0.379414","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TLSv1.2","335","Application Data"
"39","0.389829","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","1474","54869  >  443 [ACK] Seq=13951 Ack=2301 Win=4096 Len=1400 [TCP segment of a reassembled PDU]"
"40","0.389836","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","1474","54869  >  443 [ACK] Seq=15351 Ack=2301 Win=4096 Len=1400 [TCP segment of a reassembled PDU]"
"41","0.389927","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TLSv1.2","315","Application Data"
"42","0.389985","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TLSv1.2","195","Application Data"
"43","0.399358","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=2301 Ack=12290 Win=16380 Len=0"
"44","0.399646","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=2301 Ack=13951 Win=16385 Len=0"
"45","0.405197","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=2301 Ack=15351 Win=16380 Len=0"
"46","0.405824","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=2301 Ack=17113 Win=16385 Len=0"
"47","0.474964","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","1474","54869  >  443 [ACK] Seq=17113 Ack=2301 Win=4096 Len=1400 [TCP segment of a reassembled PDU]"
"48","0.474971","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","1474","54869  >  443 [ACK] Seq=18513 Ack=2301 Win=4096 Len=1400 [TCP segment of a reassembled PDU]"
"49","0.475040","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TLSv1.2","315","Application Data"
"50","0.475087","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TLSv1.2","135","Application Data"
"51","0.484597","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","260","Application Data"
"52","0.484654","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","74","54869  >  443 [ACK] Seq=20215 Ack=2487 Win=4093 Len=0"
"53","0.491045","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=2487 Ack=18513 Win=16380 Len=0"
"54","0.491454","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=2487 Ack=19913 Win=16385 Len=0"
"55","0.491746","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=2487 Ack=20215 Win=16384 Len=0"
"56","0.498257","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","829","Application Data"
"57","0.498258","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","112","Application Data"
"58","0.498317","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","74","54869  >  443 [ACK] Seq=20215 Ack=3280 Win=4083 Len=0"
"59","0.513401","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","621","Application Data"
"60","0.513402","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","112","Application Data"
"61","0.513461","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","74","54869  >  443 [ACK] Seq=20215 Ack=3865 Win=4086 Len=0"
"62","0.515110","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","1474","54869  >  443 [ACK] Seq=20215 Ack=3865 Win=4096 Len=1400 [TCP segment of a reassembled PDU]"
"63","0.515115","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","1474","54869  >  443 [ACK] Seq=21615 Ack=3865 Win=4096 Len=1400 [TCP segment of a reassembled PDU]"
"64","0.515211","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TLSv1.2","335","Application Data"
"65","0.533879","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=3865 Ack=21615 Win=16385 Len=0"
"66","0.534182","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=3865 Ack=23015 Win=16380 Len=0"
"67","0.534182","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TCP","74","443  >  54869 [ACK] Seq=3865 Ack=23276 Win=16385 Len=0"
"68","0.574778","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","324","Application Data"
"69","0.574836","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","74","54869  >  443 [ACK] Seq=23276 Ack=4115 Win=4092 Len=0"
"70","0.649165","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","603","Application Data"
"71","0.649166","2620:1ec:21::14","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","112","Application Data"
"72","0.649237","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","74","54869  >  443 [ACK] Seq=23276 Ack=4682 Win=4087 Len=0"
"73","0.650755","2600:8805:3803:6100:c100:e220:6ae:755","2620:1ec:21::14","TCP","1474","54869  >  443 [ACK] Seq=23276 Ack=4682 Win=4096 Len=1400 [TCP segment of a reassembled PDU]"
