"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.65.82.205","69.192.19.101","TCP","78","55762  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3821981379 TSecr=0 SACK_PERM"
"2","0.000143","100.65.82.205","69.192.19.101","TCP","78","55763  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1384660151 TSecr=0 SACK_PERM"
"3","0.019082","69.192.19.101","100.65.82.205","TCP","74","443  >  55762 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3164176713 TSecr=3821981379 WS=128"
"4","0.019146","100.65.82.205","69.192.19.101","TCP","66","55762  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=3821981398 TSecr=3164176713"
"5","0.019376","69.192.19.101","100.65.82.205","TCP","74","443  >  55763 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3164176713 TSecr=1384660151 WS=128"
"6","0.019432","100.65.82.205","69.192.19.101","TCP","66","55763  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=1384660170 TSecr=3164176713"
"7","0.019702","100.65.82.205","69.192.19.101","TCP","1514","55762  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=1448 TSval=3821981398 TSecr=3164176713 [TCP segment of a reassembled PDU]"
"8","0.019717","100.65.82.205","69.192.19.101","TLSv1.3","371","Client Hello (SNI=weather.com)"
"9","0.020238","100.65.82.205","69.192.19.101","TCP","1514","55763  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=1448 TSval=1384660171 TSecr=3164176713 [TCP segment of a reassembled PDU]"
"10","0.020258","100.65.82.205","69.192.19.101","TLSv1.3","371","Client Hello (SNI=weather.com)"
"11","0.037288","69.192.19.101","100.65.82.205","TCP","66","443  >  55762 [ACK] Seq=1 Ack=1754 Win=64128 Len=0 TSval=3164176732 TSecr=3821981398"
"12","0.038383","69.192.19.101","100.65.82.205","TCP","66","443  >  55763 [ACK] Seq=1 Ack=1754 Win=64128 Len=0 TSval=3164176733 TSecr=1384660171"
"13","0.038519","69.192.19.101","100.65.82.205","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"14","0.038520","69.192.19.101","100.65.82.205","TCP","1514","443  >  55762 [PSH, ACK] Seq=1449 Ack=1754 Win=64128 Len=1448 TSval=3164176733 TSecr=3821981398 [TCP segment of a reassembled PDU]"
"15","0.038565","100.65.82.205","69.192.19.101","TCP","66","55762  >  443 [ACK] Seq=1754 Ack=2897 Win=128832 Len=0 TSval=3821981417 TSecr=3164176733"
"16","0.039105","69.192.19.101","100.65.82.205","TLSv1.3","1215","Application Data, Application Data, Application Data"
"17","0.039139","100.65.82.205","69.192.19.101","TCP","66","55762  >  443 [ACK] Seq=1754 Ack=4046 Win=129920 Len=0 TSval=3821981417 TSecr=3164176733"
"18","0.039470","69.192.19.101","100.65.82.205","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"19","0.039503","100.65.82.205","69.192.19.101","TCP","66","55763  >  443 [ACK] Seq=1754 Ack=1449 Win=130304 Len=0 TSval=1384660190 TSecr=3164176734"
"20","0.040352","69.192.19.101","100.65.82.205","TCP","1514","443  >  55763 [PSH, ACK] Seq=1449 Ack=1754 Win=64128 Len=1448 TSval=3164176734 TSecr=1384660171 [TCP segment of a reassembled PDU]"
"21","0.040352","69.192.19.101","100.65.82.205","TLSv1.3","1214","Application Data, Application Data, Application Data"
"22","0.040402","100.65.82.205","69.192.19.101","TCP","66","55763  >  443 [ACK] Seq=1754 Ack=4045 Win=128448 Len=0 TSval=1384660190 TSecr=3164176734"
"23","0.040744","100.65.82.205","69.192.19.101","TLSv1.3","146","Change Cipher Spec, Application Data"
"24","0.041137","100.65.82.205","69.192.19.101","TLSv1.3","146","Change Cipher Spec, Application Data"
"25","0.041218","100.65.82.205","69.192.19.101","TCP","66","55763  >  443 [FIN, ACK] Seq=1834 Ack=4045 Win=131072 Len=0 TSval=1384660191 TSecr=3164176734"
"26","0.041283","100.65.82.205","69.192.19.101","TLSv1.3","158","Application Data"
