"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2600:8805:3803:6100:c100:e220:6ae:755","2600:1408:ec00:1286::2e03","TLSv1.2","1033","Application Data"
"2","0.000038","2600:8805:3803:6100:c100:e220:6ae:755","2600:1408:ec00:1286::2e03","TLSv1.2","125","Application Data"
"3","0.041287","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","86","443  >  55088 [ACK] Seq=1 Ack=948 Win=1086 Len=0 TSval=63856026 TSecr=2278677235"
"4","0.041288","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","86","443  >  55088 [ACK] Seq=1 Ack=987 Win=1086 Len=0 TSval=63856026 TSecr=2278677235"
"5","0.043681","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","125","Application Data"
"6","0.043744","2600:8805:3803:6100:c100:e220:6ae:755","2600:1408:ec00:1286::2e03","TCP","86","55088  >  443 [ACK] Seq=987 Ack=40 Win=16148 Len=0 TSval=2278677279 TSecr=63856031"
"7","1.348068","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","1344","Application Data"
"8","1.348070","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=1298 Ack=987 Win=1086 Len=1428 TSval=63857283 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"9","1.348070","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=2726 Ack=987 Win=1086 Len=1428 TSval=63857283 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"10","1.348071","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=4154 Ack=987 Win=1086 Len=1428 TSval=63857283 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"11","1.348072","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=5582 Ack=987 Win=1086 Len=1428 TSval=63857283 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"12","1.348073","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=7010 Ack=987 Win=1086 Len=1428 TSval=63857283 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"13","1.348074","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=8438 Ack=987 Win=1086 Len=1428 TSval=63857283 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"14","1.348074","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=9866 Ack=987 Win=1086 Len=1428 TSval=63857283 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"15","1.348075","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=11294 Ack=987 Win=1086 Len=1428 TSval=63857283 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"16","1.348076","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=12722 Ack=987 Win=1086 Len=1428 TSval=63857283 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"17","1.348077","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=14150 Ack=987 Win=1086 Len=1428 TSval=63857283 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"18","1.348078","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=15578 Ack=987 Win=1086 Len=1428 TSval=63857283 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"19","1.348078","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","784","Application Data"
"20","1.348079","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","1514","Application Data"
"21","1.348080","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=19132 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"22","1.348081","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=20560 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"23","1.348195","2600:8805:3803:6100:c100:e220:6ae:755","2600:1408:ec00:1286::2e03","TCP","86","55088  >  443 [ACK] Seq=987 Ack=15578 Win=15906 Len=0 TSval=2278678583 TSecr=63857283"
"24","1.348426","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=21988 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"25","1.348428","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=23416 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"26","1.348429","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=24844 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"27","1.348430","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=26272 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"28","1.348431","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=27700 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"29","1.348432","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=29128 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"30","1.348434","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=30556 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"31","1.348435","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=31984 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"32","1.348436","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","815","Application Data"
"33","1.348437","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","1514","Application Data"
"34","1.348438","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=35569 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"35","1.348439","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=36997 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"36","1.348440","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=38425 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"37","1.348441","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=39853 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"38","1.348442","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=41281 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"39","1.348443","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=42709 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"40","1.348444","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=44137 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"41","1.348444","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","696","Application Data"
"42","1.348446","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=46175 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"43","1.348447","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=47603 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"44","1.348447","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=49031 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"45","1.348449","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=50459 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"46","1.348449","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=51887 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"47","1.348451","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=53315 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"48","1.348452","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=54743 Ack=987 Win=1086 Len=1428 TSval=63857284 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"49","1.348452","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TLSv1.2","963","Application Data"
"50","1.348454","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=57048 Ack=987 Win=1086 Len=1428 TSval=63857287 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"51","1.348454","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=58476 Ack=987 Win=1086 Len=1428 TSval=63857287 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"52","1.348455","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=59904 Ack=987 Win=1086 Len=1428 TSval=63857287 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"53","1.348456","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=61332 Ack=987 Win=1086 Len=1428 TSval=63857287 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"54","1.348457","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=62760 Ack=987 Win=1086 Len=1428 TSval=63857287 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"55","1.348458","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=64188 Ack=987 Win=1086 Len=1428 TSval=63857287 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"56","1.348459","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=65616 Ack=987 Win=1086 Len=1428 TSval=63857287 TSecr=2278677279 [TCP segment of a reassembled PDU]"
"57","1.348460","2600:1408:ec00:1286::2e03","2600:8805:3803:6100:c100:e220:6ae:755","TCP","1514","443  >  55088 [ACK] Seq=67044 Ack=987 Win=1086 Len=1428 TSval=63857287 TSecr=2278677279 [TCP segment of a reassembled PDU]"
