"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.65.82.205","208.80.154.224","TLSv1.2","166","Application Data"
"2","0.000107","100.65.82.205","208.80.154.224","TLSv1.2","105","Application Data"
"3","0.017123","208.80.154.224","100.65.82.205","TLSv1.2","105","Application Data"
"4","0.017125","208.80.154.224","100.65.82.205","TCP","1514","443  >  55917 [ACK] Seq=40 Ack=140 Win=83 Len=1448 TSval=27502600 TSecr=1715806645 [TCP segment of a reassembled PDU]"
"5","0.017244","100.65.82.205","208.80.154.224","TCP","66","55917  >  443 [ACK] Seq=140 Ack=40 Win=2670 Len=0 TSval=1715806662 TSecr=27502600"
"6","0.017325","100.65.82.205","208.80.154.224","TCP","66","55917  >  443 [ACK] Seq=140 Ack=1488 Win=2647 Len=0 TSval=1715806662 TSecr=27502600"
"7","0.017492","208.80.154.224","100.65.82.205","TCP","1514","443  >  55917 [ACK] Seq=1488 Ack=140 Win=83 Len=1448 TSval=27502600 TSecr=1715806645 [TCP segment of a reassembled PDU]"
"8","0.017493","208.80.154.224","100.65.82.205","TCP","1514","443  >  55917 [ACK] Seq=2936 Ack=140 Win=83 Len=1448 TSval=27502600 TSecr=1715806645 [TCP segment of a reassembled PDU]"
"9","0.017593","208.80.154.224","100.65.82.205","TCP","1514","443  >  55917 [PSH, ACK] Seq=4384 Ack=140 Win=83 Len=1448 TSval=27502600 TSecr=1715806645 [TCP segment of a reassembled PDU]"
"10","0.017594","208.80.154.224","100.65.82.205","TCP","1514","443  >  55917 [ACK] Seq=5832 Ack=140 Win=83 Len=1448 TSval=27502601 TSecr=1715806645 [TCP segment of a reassembled PDU]"
"11","0.017598","100.65.82.205","208.80.154.224","TCP","66","55917  >  443 [ACK] Seq=140 Ack=4384 Win=2625 Len=0 TSval=1715806662 TSecr=27502600"
"12","0.017637","100.65.82.205","208.80.154.224","TCP","66","55917  >  443 [ACK] Seq=140 Ack=7280 Win=2580 Len=0 TSval=1715806662 TSecr=27502601"
"13","0.017705","100.65.82.205","208.80.154.224","TCP","66","[TCP Window Update] 55917  >  443 [ACK] Seq=140 Ack=7280 Win=2671 Len=0 TSval=1715806662 TSecr=27502601"
"14","0.017994","208.80.154.224","100.65.82.205","TCP","1514","443  >  55917 [ACK] Seq=7280 Ack=140 Win=83 Len=1448 TSval=27502601 TSecr=1715806645 [TCP segment of a reassembled PDU]"
"15","0.017995","208.80.154.224","100.65.82.205","TCP","1514","443  >  55917 [ACK] Seq=8728 Ack=140 Win=83 Len=1448 TSval=27502601 TSecr=1715806645 [TCP segment of a reassembled PDU]"
"16","0.018081","100.65.82.205","208.80.154.224","TCP","66","55917  >  443 [ACK] Seq=140 Ack=10176 Win=2625 Len=0 TSval=1715806662 TSecr=27502601"
"17","0.018171","208.80.154.224","100.65.82.205","TCP","1514","443  >  55917 [PSH, ACK] Seq=10176 Ack=140 Win=83 Len=1448 TSval=27502601 TSecr=1715806645 [TCP segment of a reassembled PDU]"
"18","0.018208","100.65.82.205","208.80.154.224","TCP","66","55917  >  443 [ACK] Seq=140 Ack=11624 Win=2603 Len=0 TSval=1715806663 TSecr=27502601"
"19","0.018281","100.65.82.205","208.80.154.224","TCP","66","[TCP Window Update] 55917  >  443 [ACK] Seq=140 Ack=11624 Win=2671 Len=0 TSval=1715806663 TSecr=27502601"
"20","0.019340","208.80.154.224","100.65.82.205","TCP","1514","443  >  55917 [ACK] Seq=11624 Ack=140 Win=83 Len=1448 TSval=27502602 TSecr=1715806645 [TCP segment of a reassembled PDU]"
"21","0.019342","208.80.154.224","100.65.82.205","TCP","1514","443  >  55917 [ACK] Seq=13072 Ack=140 Win=83 Len=1448 TSval=27502602 TSecr=1715806645 [TCP segment of a reassembled PDU]"
"22","0.019344","208.80.154.224","100.65.82.205","TLSv1.2","207","Application Data"
"23","0.019470","100.65.82.205","208.80.154.224","TCP","66","55917  >  443 [ACK] Seq=140 Ack=14661 Win=2623 Len=0 TSval=1715806664 TSecr=27502602"
"24","0.019751","100.65.82.205","208.80.154.224","TCP","66","[TCP Window Update] 55917  >  443 [ACK] Seq=140 Ack=14661 Win=2671 Len=0 TSval=1715806664 TSecr=27502602"
"25","0.021251","208.80.154.224","100.65.82.205","TCP","1514","443  >  55917 [ACK] Seq=14661 Ack=140 Win=83 Len=1448 TSval=27502602 TSecr=1715806645 [TCP segment of a reassembled PDU]"
"26","0.021252","208.80.154.224","100.65.82.205","TCP","1514","443  >  55917 [ACK] Seq=16109 Ack=140 Win=83 Len=1448 TSval=27502602 TSecr=1715806645 [TCP segment of a reassembled PDU]"
"27","0.021253","208.80.154.224","100.65.82.205","TCP","1514","443  >  55917 [ACK] Seq=17557 Ack=140 Win=83 Len=1448 TSval=27502602 TSecr=1715806645 [TCP segment of a reassembled PDU]"
"28","0.021255","208.80.154.224","100.65.82.205","TCP","1514","443  >  55917 [PSH, ACK] Seq=19005 Ack=140 Win=83 Len=1448 TSval=27502602 TSecr=1715806645 [TCP segment of a reassembled PDU]"
"29","0.021338","100.65.82.205","208.80.154.224","TLSv1.2","101","Application Data"
"30","0.021442","100.65.82.205","208.80.154.224","TCP","66","55917  >  443 [ACK] Seq=175 Ack=20453 Win=2580 Len=0 TSval=1715806666 TSecr=27502602"
"31","0.021540","100.65.82.205","208.80.154.224","TCP","66","[TCP Window Update] 55917  >  443 [ACK] Seq=175 Ack=20453 Win=2671 Len=0 TSval=1715806666 TSecr=27502602"
"32","0.022458","208.80.154.224","100.65.82.205","TCP","1514","443  >  55917 [ACK] Seq=20453 Ack=140 Win=83 Len=1448 TSval=27502603 TSecr=1715806645 [TCP segment of a reassembled PDU]"
"33","0.022462","208.80.154.224","100.65.82.205","TCP","1514","443  >  55917 [ACK] Seq=21901 Ack=140 Win=83 Len=1448 TSval=27502603 TSecr=1715806645 [TCP segment of a reassembled PDU]"
"34","0.022543","100.65.82.205","208.80.154.224","TCP","66","55917  >  443 [ACK] Seq=175 Ack=23349 Win=2625 Len=0 TSval=1715806668 TSecr=27502603"
"35","0.022746","100.65.82.205","208.80.154.224","TCP","66","[TCP Window Update] 55917  >  443 [ACK] Seq=175 Ack=23349 Win=2671 Len=0 TSval=1715806668 TSecr=27502603"
"36","0.023290","208.80.154.224","100.65.82.205","TCP","1514","443  >  55917 [ACK] Seq=23349 Ack=140 Win=83 Len=1448 TSval=27502603 TSecr=1715806645 [TCP segment of a reassembled PDU]"
"37","0.023292","208.80.154.224","100.65.82.205","TLSv1.2","191","Application Data"
"38","0.023376","100.65.82.205","208.80.154.224","TCP","66","55917  >  443 [ACK] Seq=175 Ack=24922 Win=2646 Len=0 TSval=1715806668 TSecr=27502603"
"39","0.073132","208.80.154.224","100.65.82.205","TCP","66","443  >  55917 [ACK] Seq=24922 Ack=175 Win=83 Len=0 TSval=27502657 TSecr=1715806666"
"40","0.326851","100.65.82.205","208.80.154.224","TLSv1.2","173","Application Data"
"41","0.352737","208.80.154.224","100.65.82.205","TCP","66","443  >  55917 [ACK] Seq=24922 Ack=282 Win=83 Len=0 TSval=27502936 TSecr=1715806972"
"42","0.353192","208.80.154.224","100.65.82.205","TCP","1514","443  >  55917 [ACK] Seq=24922 Ack=282 Win=83 Len=1448 TSval=27502937 TSecr=1715806972 [TCP segment of a reassembled PDU]"
