"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TLSv1.2","180","Application Data"
"2","0.000173","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TLSv1.2","125","Application Data"
"3","0.022596","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","86","443  >  51704 [ACK] Seq=1 Ack=134 Win=83 Len=0 TSval=2877893775 TSecr=3262496086"
"4","0.022597","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TLSv1.2","125","Application Data"
"5","0.022722","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TCP","86","51704  >  443 [ACK] Seq=134 Ack=40 Win=7960 Len=0 TSval=3262496109 TSecr=2877893775"
"6","0.041450","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=40 Ack=134 Win=83 Len=1428 TSval=2877893794 TSecr=3262496109 [TCP segment of a reassembled PDU]"
"7","0.041628","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TCP","86","51704  >  443 [ACK] Seq=134 Ack=1468 Win=7938 Len=0 TSval=3262496128 TSecr=2877893794"
"8","0.042818","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TLSv1.2","929","Application Data"
"9","0.042933","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TCP","86","51704  >  443 [ACK] Seq=134 Ack=2311 Win=7947 Len=0 TSval=3262496129 TSecr=2877893794"
"10","0.045023","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TLSv1.2","121","Application Data"
"11","0.107587","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","86","443  >  51704 [ACK] Seq=2311 Ack=169 Win=83 Len=0 TSval=2877893860 TSecr=3262496131"
"12","1.592047","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TLSv1.2","174","Application Data"
"13","1.607927","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","86","443  >  51704 [ACK] Seq=2311 Ack=257 Win=83 Len=0 TSval=2877895360 TSecr=3262497678"
"14","1.640204","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=2311 Ack=257 Win=83 Len=1428 TSval=2877895392 TSecr=3262497678 [TCP segment of a reassembled PDU]"
"15","1.640314","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TCP","86","51704  >  443 [ACK] Seq=257 Ack=3739 Win=7938 Len=0 TSval=3262497726 TSecr=2877895392"
"16","1.640940","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TLSv1.2","729","Application Data"
"17","1.640994","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TCP","86","51704  >  443 [ACK] Seq=257 Ack=4382 Win=7950 Len=0 TSval=3262497726 TSecr=2877895392"
"18","1.990860","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TLSv1.2","174","Application Data"
"19","2.032585","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=4382 Ack=345 Win=83 Len=1428 TSval=2877895784 TSecr=3262498077 [TCP segment of a reassembled PDU]"
"20","2.032715","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TCP","86","51704  >  443 [ACK] Seq=345 Ack=5810 Win=7938 Len=0 TSval=3262498119 TSecr=2877895784"
"21","2.034252","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TLSv1.2","707","Application Data"
"22","2.034406","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TCP","86","51704  >  443 [ACK] Seq=345 Ack=6431 Win=7951 Len=0 TSval=3262498121 TSecr=2877895784"
"23","2.330125","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TLSv1.2","162","Application Data"
"24","2.395881","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","86","443  >  51704 [ACK] Seq=6431 Ack=421 Win=83 Len=0 TSval=2877896148 TSecr=3262498416"
"25","2.579004","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TLSv1.2","1232","Application Data"
"26","2.579244","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TCP","86","51704  >  443 [ACK] Seq=421 Ack=7577 Win=7942 Len=0 TSval=3262498665 TSecr=2877896331"
"27","2.581267","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=7577 Ack=421 Win=83 Len=1428 TSval=2877896332 TSecr=3262498416 [TCP segment of a reassembled PDU]"
"28","2.581462","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TCP","86","51704  >  443 [ACK] Seq=421 Ack=9005 Win=7938 Len=0 TSval=3262498668 TSecr=2877896332"
"29","2.583411","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=9005 Ack=421 Win=83 Len=1428 TSval=2877896332 TSecr=3262498416 [TCP segment of a reassembled PDU]"
"30","2.583413","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=10433 Ack=421 Win=83 Len=1428 TSval=2877896332 TSecr=3262498416 [TCP segment of a reassembled PDU]"
"31","2.583414","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=11861 Ack=421 Win=83 Len=1428 TSval=2877896332 TSecr=3262498416 [TCP segment of a reassembled PDU]"
"32","2.583415","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=13289 Ack=421 Win=83 Len=1428 TSval=2877896332 TSecr=3262498416 [TCP segment of a reassembled PDU]"
"33","2.583417","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=14717 Ack=421 Win=83 Len=1428 TSval=2877896332 TSecr=3262498416 [TCP segment of a reassembled PDU]"
"34","2.583418","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=16145 Ack=421 Win=83 Len=1428 TSval=2877896332 TSecr=3262498416 [TCP segment of a reassembled PDU]"
"35","2.583419","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=17573 Ack=421 Win=83 Len=1428 TSval=2877896332 TSecr=3262498416 [TCP segment of a reassembled PDU]"
"36","2.583421","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=19001 Ack=421 Win=83 Len=1428 TSval=2877896332 TSecr=3262498416 [TCP segment of a reassembled PDU]"
"37","2.583422","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=20429 Ack=421 Win=83 Len=1428 TSval=2877896332 TSecr=3262498416 [TCP segment of a reassembled PDU]"
"38","2.583423","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TLSv1.2","365","Application Data"
"39","2.583530","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TCP","86","51704  >  443 [ACK] Seq=421 Ack=22136 Win=7755 Len=0 TSval=3262498669 TSecr=2877896332"
"40","2.583904","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TCP","86","[TCP Window Update] 51704  >  443 [ACK] Seq=421 Ack=22136 Win=7960 Len=0 TSval=3262498670 TSecr=2877896332"
"41","3.606605","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TLSv1.2","208","Application Data"
"42","3.641003","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","86","443  >  51704 [ACK] Seq=22136 Ack=543 Win=83 Len=0 TSval=2877897393 TSecr=3262499693"
"43","3.641521","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=22136 Ack=543 Win=83 Len=1428 TSval=2877897394 TSecr=3262499693 [TCP segment of a reassembled PDU]"
"44","3.641563","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TCP","86","51704  >  443 [ACK] Seq=543 Ack=23564 Win=7938 Len=0 TSval=3262499727 TSecr=2877897394"
"45","3.644012","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TLSv1.2","1064","Application Data"
"46","3.644070","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TCP","86","51704  >  443 [ACK] Seq=543 Ack=24542 Win=7945 Len=0 TSval=3262499730 TSecr=2877897394"
"47","3.785696","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TLSv1.2","184","Application Data"
"48","3.801408","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=24542 Ack=641 Win=83 Len=1428 TSval=2877897553 TSecr=3262499872 [TCP segment of a reassembled PDU]"
"49","3.801410","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TLSv1.2","948","Application Data"
"50","3.801531","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TCP","86","51704  >  443 [ACK] Seq=641 Ack=25970 Win=7938 Len=0 TSval=3262499888 TSecr=2877897553"
"51","3.801611","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TCP","86","51704  >  443 [ACK] Seq=641 Ack=26832 Win=7925 Len=0 TSval=3262499888 TSecr=2877897553"
"52","4.532302","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TLSv1.2","172","Application Data"
"53","4.548387","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=26832 Ack=727 Win=83 Len=1428 TSval=2877898300 TSecr=3262500618 [TCP segment of a reassembled PDU]"
"54","4.548467","2600:8805:3803:6100:357c:4644:40b6:e846","2620:0:861:ed1a::1","TCP","86","51704  >  443 [ACK] Seq=727 Ack=28260 Win=7938 Len=0 TSval=3262500634 TSecr=2877898300"
"55","4.551457","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=28260 Ack=727 Win=83 Len=1428 TSval=2877898300 TSecr=3262500618 [TCP segment of a reassembled PDU]"
"56","4.551458","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=29688 Ack=727 Win=83 Len=1428 TSval=2877898300 TSecr=3262500618 [TCP segment of a reassembled PDU]"
"57","4.551460","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=31116 Ack=727 Win=83 Len=1428 TSval=2877898300 TSecr=3262500618 [TCP segment of a reassembled PDU]"
"58","4.551460","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=32544 Ack=727 Win=83 Len=1428 TSval=2877898300 TSecr=3262500618 [TCP segment of a reassembled PDU]"
"59","4.551461","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=33972 Ack=727 Win=83 Len=1428 TSval=2877898300 TSecr=3262500618 [TCP segment of a reassembled PDU]"
"60","4.551462","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=35400 Ack=727 Win=83 Len=1428 TSval=2877898300 TSecr=3262500618 [TCP segment of a reassembled PDU]"
"61","4.551463","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=36828 Ack=727 Win=83 Len=1428 TSval=2877898300 TSecr=3262500618 [TCP segment of a reassembled PDU]"
"62","4.551464","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=38256 Ack=727 Win=83 Len=1428 TSval=2877898300 TSecr=3262500618 [TCP segment of a reassembled PDU]"
"63","4.551465","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=39684 Ack=727 Win=83 Len=1428 TSval=2877898300 TSecr=3262500618 [TCP segment of a reassembled PDU]"
"64","4.551465","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TLSv1.2","429","Application Data"
"65","4.551466","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=41455 Ack=727 Win=83 Len=1428 TSval=2877898300 TSecr=3262500618 [TCP segment of a reassembled PDU]"
"66","4.551467","2620:0:861:ed1a::1","2600:8805:3803:6100:357c:4644:40b6:e846","TCP","1514","443  >  51704 [ACK] Seq=42883 Ack=727 Win=83 Len=1428 TSval=2877898300 TSecr=3262500618 [TCP segment of a reassembled PDU]"
